Hour,Day,Month,Year,Energy,Cloud Coverage,Visibility,Temperature,Dew Point,Relative Humidity,Wind Speed,Station Pressure,Altimeter
15,29,9,2016,2228.25,0.44,10,21.24,13.02,57.4,8.44,29.31,30.11
8,27,9,2016,1864,0,10,16.88,8.44,55.52,9.68,29.15,29.94
11,5,12,2016,192,1,10,1.62,0.61,90.92,10.96,29.28,30.07
8,28,3,2016,1729.75,0.59,10,6.7,4.15,83,15,29.28,30.1
12,29,7,2016,3675.75,0.75,10,26.3,20.8,69,6,29.12,29.94
9,24,3,2016,272.25,1,8.92,15.54,14.51,93.32,20.64,28.72,29.5
11,13,6,2016,4026.5,0,10,29.43,12.8,36,8,29.19,30.01
17,27,3,2016,34.35,1,4.28,7.35,6.9,92.29,21.29,29.06,29.85
7,1,7,2017,309.5,0,10,22.23,20.02,83.48,8.32,29.18,29.97
14,24,4,2016,4246,0.7,10,25.08,10.6,37.68,14.48,29.11,29.9
15,27,2,2017,1705.75,0.65,10,14.46,3.06,46.24,10.56,29.29,30.08
10,13,10,2017,3594.75,0,10,19,14.3,75.44,9.16,29.38,30.18
7,2,7,2017,358,0,10,22.11,17.66,73.24,3,29.31,30.11
17,17,10,2016,342.25,0,10,26.1,17.7,56.16,20.2,28.82,29.6
8,14,8,2017,1828,0,10,23.58,17.93,69.72,0.96,29.12,29.91
